FID,MUN_CD_MUN,MUN_NM_MUN,MUN_UF,MUN_NM_PRE,MUN_SIGLA_,MUN_POPU_2,MUN_ICS,MUN_IFSUTI,MUN_ISCST,MUN_C_GERA,MUN_C_REMA,MUN_EFIC_1,MUN_ICT_FI
5210,4310751,Ivorá,RS,Companhia Rio-Grandense de Saneamento,CORSAN,708,2.31663829787,22.8368794326,47.80141844,38,25,33.445024255,27.0450638298
5211,4310801,Ivoti,RS,Água de Ivoti,AV,19494,9.78850625623,63.5256339276,26.685859816,1052,651,38.115380357,0
5212,4310850,Jaboticaba,RS,Companhia Rio-Grandense de Saneamento,CORSAN,1508,2.35373234701,16.4761264291,81.170141224,81,73,9.885675857,0
5213,4310876,Jacuizinho,RS,Prefeitura Municipal de Jacuizinho,PM,588,0.53380782918,4.44839857651,95.017793594,31,30,2.669039146,0
5214,4310900,Jacutinga,RS,Companhia Rio-Grandense de Saneamento,CORSAN,2637,41.4302370773,35.0174893121,23.552273611,142,112,21.010493587,0
5215,4311007,Jaguarão,RS,Companhia Rio-Grandense de Saneamento,CORSAN,26620,0,15.1465236545,36.119517334,1437,1075,25.170120667,48.7339590117
5216,4311106,Jaguari,RS,Prefeitura Municipal de Jaguari,PM,6646,25.4631756239,24.5291685806,50.007655795,358,306,14.717501148,0
5217,4311122,Jaquirana,RS,Companhia Rio-Grandense de Saneamento,CORSAN,2443,62.4279835391,0.94650205761,36.625514403,131,131,0.567901235,0
5218,4311130,Jari,RS,Prefeitura Municipal de Jari,PM,628,0.16313213703,5.87275693312,93.96411093,33,32,3.52365416,0
5219,4311155,Jóia,RS,Prefeitura Municipal de Jóia,PM,2164,1.29248444232,57.9224509335,40.785064624,116,76,34.75347056,0
5220,4311205,Júlio de Castilhos,RS,Companhia Rio-Grandense de Saneamento,CORSAN,16532,42.934310195,9.95281261642,47.112877189,892,839,5.97168757,0
5221,4311239,Lagoa Bonita do Sul,RS,Prefeitura Municipal de Lagoa Bonita do Sul,PM,403,0.78125,36.1979166667,63.020833333,21,17,21.71875,0
5222,4311254,Lagoão,RS,Companhia Rio-Grandense de Saneamento,CORSAN,1730,31.5407854985,1.81268882175,66.64652568,93,92,1.087613293,0
5223,4311270,Lagoa dos Três Cantos,RS,Prefeitura Municipal de Lagoa dos Três Cantos,PM,832,1.48698884758,33.4572490706,65.055762082,44,35,20.074349442,0
5224,4311304,Lagoa Vermelha,RS,Companhia Rio-Grandense de Saneamento,CORSAN,24909,84.6784885648,4.2426251243,11.078886311,1345,1310,2.545575075,0
5225,4311403,Lajeado,RS,Companhia Rio-Grandense de Saneamento,CORSAN,75904,4.59815012644,78.0809216072,16.244731666,4098,2144,47.677224346,1.07619660017
5226,4311429,Lajeado do Bugre,RS,Prefeitura Municipal de Lajeado do Bugre,PM,732,3.68271954674,0,96.317280453,39,39,0,0
5227,4311502,Lavras do Sul,RS,Companhia Rio-Grandense de Saneamento,CORSAN,4871,62.2950819672,9.14249684741,28.562421185,263,248,5.485498108,0
5228,4311601,Liberato Salzano,RS,Prefeitura Municipal de Liberato Salzano,PM,1308,1.46491904395,13.5697764071,84.965304549,70,64,8.141865844,0
5229,4311627,Lindolfo Collor,RS,Prefeitura Municipal de Lindolfo Collor,PM,4566,20.2472591556,56.0998367157,23.652904129,246,163,33.659902029,0
5230,4311643,Linha Nova,RS,Prefeitura Municipal de Linha Nova,PM,433,0,93.2692307692,6.730769231,23,10,55.961538462,0
5231,4311700,Machadinho,RS,Companhia Rio-Grandense de Saneamento,CORSAN,3477,18.2274741507,74.8892171344,6.883308715,187,103,44.933530281,0
5232,4311718,Maçambara,RS,Companhia Rio-Grandense de Saneamento,CORSAN,1340,50.4580152672,30.6106870229,18.93129771,72,59,18.366412214,0
5233,4311734,Mampituba,RS,Prefeitura Municipal de Mampituba,PM,584,0,33.6267605634,66.373239437,31,25,20.176056338,0
5234,4311759,Manoel Viana,RS,Companhia Rio-Grandense de Saneamento,CORSAN,5560,1.17493472585,8.95188362551,89.873181649,300,284,5.371130175,0
5235,4311775,Maquiné,RS,Prefeitura Municipal de Maquiné,PM,2113,6.83139534884,83.8662790698,9.302325581,114,56,50.319767442,0
5236,4311791,Maratá,RS,Prefeitura Municipal de Maratá,PM,786,6.50730411687,85.3917662683,8.100929615,42,20,51.235059761,0
5237,4311809,Marau,RS,Companhia Rio-Grandense de Saneamento,CORSAN,34004,57.4909690094,34.9356739971,7.573356993,1836,1451,20.961404398,0
5238,4311908,Marcelino Ramos,RS,Companhia Rio-Grandense de Saneamento,CORSAN,2716,8.30271858927,68.1116825863,23.585598824,146,86,40.867009552,0
5239,4311981,Mariana Pimentel,RS,Prefeitura Municipal de Mariana Pimentel,PM,661,5.01567398119,93.2601880878,1.724137931,35,15,55.956112853,0
5240,4312005,Mariano Moro,RS,Companhia Rio-Grandense de Saneamento,CORSAN,1166,10.0607111882,77.5368603643,12.402428448,62,33,46.522116219,0
5241,4312054,Marques de Souza,RS,Prefeitura Municipal de Marques de Souza,PM,1586,0.19417475728,80.8414239482,18.964401295,85,44,48.504854369,0
5242,4312104,Mata,RS,Prefeitura Municipal de Mata,PM,2663,12.4522536287,60.3896103896,27.158135982,143,91,36.233766234,0
5243,4312138,Mato Castelhano,RS,Prefeitura Municipal de Mato Castelhano,PM,540,7.10172744722,84.6449136276,8.253358925,29,14,50.786948177,0
5244,4312153,Mato Leitão,RS,Prefeitura Municipal de Mato Leitão,PM,1730,0.55521283159,99.0746452807,0.370141888,93,37,59.444787168,0
5245,4312179,Mato Queimado,RS,Prefeitura Municipal de Mato Queimado,PM,484,1.67014613779,39.248434238,59.081419624,26,19,23.549060543,0
5246,4312203,Maximiliano de Almeida,RS,Companhia Rio-Grandense de Saneamento,CORSAN,2990,48.7558843309,15.1647612643,36.079354405,161,146,9.098856759,0
5247,4312252,Minas do Leão,RS,Prefeitura Municipal de Minas do Leão,PM,7653,50.8855585831,20.5449591281,28.569482289,413,362,12.326975477,0
5248,4312302,Miraguaí,RS,Companhia Rio-Grandense de Saneamento,CORSAN,2127,1.01498308362,43.4026099565,55.58240696,114,84,26.041565974,0
5249,4312351,Montauri,RS,Prefeitura Municipal de Montauri,PM,655,0,48.7577639752,51.242236025,35,25,29.254658385,0
5250,4312377,Monte Alegre dos Campos,RS,Prefeitura Municipal de Monte Alegre dos Campos,PM,670,13.7984496124,29.1472868217,57.054263566,36,29,17.488372093,0
5251,4312385,Monte Belo do Sul,RS,Prefeitura Municipal de Monte Belo do Sul,PM,784,0.90909090909,15.3246753247,83.766233766,42,38,9.194805195,0
5252,4312401,Montenegro,RS,Companhia Rio-Grandense de Saneamento,CORSAN,56399,64.2227153219,26.2600458707,9.517238807,3045,2565,15.756027522,0
5253,4312427,Mormaço,RS,Prefeitura Municipal de Mormaço,PM,634,2.83333333333,5.33333333333,91.833333333,34,33,3.2,0
5254,4312443,Morrinhos do Sul,RS,Prefeitura Municipal de Morrinhos do Sul,PM,1318,0,18.7692307692,78.769230769,71,63,11.261538461,2.46153846154
5255,4312450,Morro Redondo,RS,Prefeitura Municipal de Morro Redondo,PM,2759,50.9063444109,42.749244713,6.344410876,148,110,25.649546828,0
5256,4312476,Morro Reuter,RS,Companhia Rio-Grandense de Saneamento,CORSAN,5124,8.34538318529,86.2631687668,5.391448048,276,133,51.75790126,0
5257,4312500,Mostardas,RS,Prefeitura Municipal de Mostardas,PM,8488,76.4091858038,17.7084612551,5.882352941,458,409,10.625076753,0
5258,4312609,Muçum,RS,Prefeitura Municipal de Muçum,PM,4195,7.12166172107,55.9347181009,36.943620178,226,150,33.560830861,0
5259,4312617,Muitos Capões,RS,Companhia Rio-Grandense de Saneamento,CORSAN,1012,16.0824742268,1.75257731959,82.164948454,54,54,1.051546392,0
5260,4312625,Muliterno,RS,Prefeitura Municipal de Muliterno,PM,528,0.7874015748,40.5511811024,58.661417323,28,21,24.330708661,0
5261,4312658,Não-Me-Toque,RS,Companhia Rio-Grandense de Saneamento,CORSAN,14710,7.49677788916,40.6988400401,51.804382071,794,600,24.419304024,0
5262,4312674,Nicolau Vergueiro,RS,Prefeitura Municipal de Nicolau Vergueiro,PM,652,0,26.572327044,73.427672956,35,29,15.943396226,0
5263,4312708,Nonoai,RS,Companhia Rio-Grandense de Saneamento,CORSAN,9271,3.60728075014,23.0115830116,73.381136238,500,431,13.806949807,0
5264,4312757,Nova Alvorada,RS,Prefeitura Municipal de Nova Alvorada,PM,1413,14.3393393393,10.3603603604,75.3003003,76,71,6.216216216,0
5265,4312807,Nova Araçá,RS,Prefeitura Municipal de Nova Araçá,PM,3087,2.43055555556,72.4652777778,25.104166667,166,94,43.479166667,0
5266,4312906,Nova Bassano,RS,Companhia Rio-Grandense de Saneamento,CORSAN,5828,28.6724700762,45.3028654334,26.02466449,314,229,27.18171926,0
5267,4312955,Nova Boa Vista,RS,Prefeitura Municipal de Nova Boa Vista,PM,583,1.03806228374,47.9238754325,51.038062284,31,22,28.75432526,0
