ano,turno,tipo_eleicao,sigla_uf,id_municipio,id_municipio_tse,cargo,numero_partido,sigla_partido,numero_candidato,sequencial_candidato,id_candidato_bd,resultado,votos
2022,1,eleicao ordinaria,SP,3504404,61875,presidente,16,PSTU,16,280001607831,27173,nao eleito,2
2022,1,eleicao ordinaria,SP,3504503,61891,presidente,16,PSTU,16,280001607831,27173,nao eleito,13
2022,1,eleicao ordinaria,SP,3504602,61913,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3504701,61930,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3504800,61956,presidente,16,PSTU,16,280001607831,27173,nao eleito,3
2022,1,eleicao ordinaria,SP,3504909,61972,presidente,16,PSTU,16,280001607831,27173,nao eleito,1
2022,1,eleicao ordinaria,SP,3505005,62014,presidente,16,PSTU,16,280001607831,27173,nao eleito,1
2022,1,eleicao ordinaria,SP,3505104,61999,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3505203,62030,presidente,16,PSTU,16,280001607831,27173,nao eleito,2
2022,1,eleicao ordinaria,SP,3505302,62057,presidente,16,PSTU,16,280001607831,27173,nao eleito,4
2022,1,eleicao ordinaria,SP,3505351,61360,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3505401,62073,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3505500,62090,presidente,16,PSTU,16,280001607831,27173,nao eleito,11
2022,1,eleicao ordinaria,SP,3505609,62111,presidente,16,PSTU,16,280001607831,27173,nao eleito,2
2022,1,eleicao ordinaria,SP,3505708,62138,presidente,16,PSTU,16,280001607831,27173,nao eleito,36
2022,1,eleicao ordinaria,SP,3505807,62154,presidente,16,PSTU,16,280001607831,27173,nao eleito,2
2022,1,eleicao ordinaria,SP,3505906,62170,presidente,16,PSTU,16,280001607831,27173,nao eleito,6
2022,1,eleicao ordinaria,SP,3506003,62197,presidente,16,PSTU,16,280001607831,27173,nao eleito,59
2022,1,eleicao ordinaria,SP,3506102,62219,presidente,16,PSTU,16,280001607831,27173,nao eleito,3
2022,1,eleicao ordinaria,SP,3506201,62235,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3506300,62251,presidente,16,PSTU,16,280001607831,27173,nao eleito,2
2022,1,eleicao ordinaria,SP,3506359,61280,presidente,16,PSTU,16,280001607831,27173,nao eleito,7
2022,1,eleicao ordinaria,SP,3506409,62278,presidente,16,PSTU,16,280001607831,27173,nao eleito,1
2022,1,eleicao ordinaria,SP,3506508,62294,presidente,16,PSTU,16,280001607831,27173,nao eleito,11
2022,1,eleicao ordinaria,SP,3506607,62316,presidente,16,PSTU,16,280001607831,27173,nao eleito,1
2022,1,eleicao ordinaria,SP,3506706,62332,presidente,16,PSTU,16,280001607831,27173,nao eleito,1
2022,1,eleicao ordinaria,SP,3506805,62359,presidente,16,PSTU,16,280001607831,27173,nao eleito,1
2022,1,eleicao ordinaria,SP,3506904,62375,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3507001,62391,presidente,16,PSTU,16,280001607831,27173,nao eleito,11
2022,1,eleicao ordinaria,SP,3507100,62413,presidente,16,PSTU,16,280001607831,27173,nao eleito,3
2022,1,eleicao ordinaria,SP,3507159,61786,presidente,16,PSTU,16,280001607831,27173,nao eleito,1
2022,1,eleicao ordinaria,SP,3507209,62430,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3507308,62456,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3507407,62472,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3507456,61026,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3507506,62499,presidente,16,PSTU,16,280001607831,27173,nao eleito,26
2022,1,eleicao ordinaria,SP,3507605,62510,presidente,16,PSTU,16,280001607831,27173,nao eleito,29
2022,1,eleicao ordinaria,SP,3507704,62553,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3507753,62081,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3507803,62570,presidente,16,PSTU,16,280001607831,27173,nao eleito,3
2022,1,eleicao ordinaria,SP,3507902,62596,presidente,16,PSTU,16,280001607831,27173,nao eleito,4
2022,1,eleicao ordinaria,SP,3508009,62618,presidente,16,PSTU,16,280001607831,27173,nao eleito,1
2022,1,eleicao ordinaria,SP,3508108,62634,presidente,16,PSTU,16,280001607831,27173,nao eleito,1
2022,1,eleicao ordinaria,SP,3508207,62650,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3508306,62677,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3508405,62693,presidente,16,PSTU,16,280001607831,27173,nao eleito,5
2022,1,eleicao ordinaria,SP,3508504,62715,presidente,16,PSTU,16,280001607831,27173,nao eleito,28
2022,1,eleicao ordinaria,SP,3508603,62731,presidente,16,PSTU,16,280001607831,27173,nao eleito,4
2022,1,eleicao ordinaria,SP,3508702,62758,presidente,16,PSTU,16,280001607831,27173,nao eleito,1
2022,1,eleicao ordinaria,SP,3508801,62774,presidente,16,PSTU,16,280001607831,27173,nao eleito,1
2022,1,eleicao ordinaria,SP,3508900,62790,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3509007,62812,presidente,16,PSTU,16,280001607831,27173,nao eleito,17
2022,1,eleicao ordinaria,SP,3509106,62839,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3509205,62855,presidente,16,PSTU,16,280001607831,27173,nao eleito,21
2022,1,eleicao ordinaria,SP,3509254,61484,presidente,16,PSTU,16,280001607831,27173,nao eleito,3
2022,1,eleicao ordinaria,SP,3509304,62871,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3509403,62898,presidente,16,PSTU,16,280001607831,27173,nao eleito,3
2022,1,eleicao ordinaria,SP,3509452,61506,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3509502,62910,presidente,16,PSTU,16,280001607831,27173,nao eleito,231
2022,1,eleicao ordinaria,SP,3509601,62936,presidente,16,PSTU,16,280001607831,27173,nao eleito,8
2022,1,eleicao ordinaria,SP,3509700,62952,presidente,16,PSTU,16,280001607831,27173,nao eleito,5
2022,1,eleicao ordinaria,SP,3509809,62979,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3509908,62995,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3509957,62103,presidente,16,PSTU,16,280001607831,27173,nao eleito,1
2022,1,eleicao ordinaria,SP,3510005,63010,presidente,16,PSTU,16,280001607831,27173,nao eleito,1
2022,1,eleicao ordinaria,SP,3510104,63037,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3510153,61344,presidente,16,PSTU,16,280001607831,27173,nao eleito,1
2022,1,eleicao ordinaria,SP,3510203,63053,presidente,16,PSTU,16,280001607831,27173,nao eleito,2
2022,1,eleicao ordinaria,SP,3510302,63070,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3510401,63096,presidente,16,PSTU,16,280001607831,27173,nao eleito,5
2022,1,eleicao ordinaria,SP,3510500,63118,presidente,16,PSTU,16,280001607831,27173,nao eleito,31
2022,1,eleicao ordinaria,SP,3510609,63134,presidente,16,PSTU,16,280001607831,27173,nao eleito,70
2022,1,eleicao ordinaria,SP,3510708,63150,presidente,16,PSTU,16,280001607831,27173,nao eleito,3
2022,1,eleicao ordinaria,SP,3510807,63177,presidente,16,PSTU,16,280001607831,27173,nao eleito,3
2022,1,eleicao ordinaria,SP,3510906,63193,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3511003,63215,presidente,16,PSTU,16,280001607831,27173,nao eleito,2
2022,1,eleicao ordinaria,SP,3511102,63231,presidente,16,PSTU,16,280001607831,27173,nao eleito,4
2022,1,eleicao ordinaria,SP,3511201,63258,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3511300,63274,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3511409,63290,presidente,16,PSTU,16,280001607831,27173,nao eleito,3
2022,1,eleicao ordinaria,SP,3511508,63312,presidente,16,PSTU,16,280001607831,27173,nao eleito,2
2022,1,eleicao ordinaria,SP,3511607,63339,presidente,16,PSTU,16,280001607831,27173,nao eleito,3
2022,1,eleicao ordinaria,SP,3511706,63355,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3511904,63398,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3512001,63410,presidente,16,PSTU,16,280001607831,27173,nao eleito,2
2022,1,eleicao ordinaria,SP,3512100,63436,presidente,16,PSTU,16,280001607831,27173,nao eleito,0
2022,1,eleicao ordinaria,SP,3512209,63452,presidente,16,PSTU,16,280001607831,27173,nao eleito,3
